CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0174', 0.8422926438420305)","('C0152', 0.8249537717448658)","('C0192', 0.8150921328659948)"
C0002,"('C0134', 0.80050676295401)","('C0007', 0.7986741261450693)","('C0193', 0.7880561700709434)"
C0003,"('C0129', 0.8914535159332343)","('C0006', 0.8559208047255501)","('C0190', 0.8268704351231548)"
C0004,"('C0102', 0.9623529275369861)","('C0108', 0.911317902819873)","('C0113', 0.9092908602795724)"
C0005,"('C0159', 0.9662117983915872)","('C0007', 0.9239256125937739)","('C0186', 0.8276087947128055)"
C0006,"('C0003', 0.8559208047255501)","('C0052', 0.8140053744677647)","('C0129', 0.7975111871903039)"
C0007,"('C0159', 0.9601003552901002)","('C0005', 0.9239256125937739)","('C0040', 0.8054008519467992)"
C0008,"('C0024', 0.9160288723585857)","('C0194', 0.892218123381115)","('C0047', 0.8775586950186819)"
C0009,"('C0121', 0.8922158648939775)","('C0119', 0.8875768899499024)","('C0097', 0.8765826593367202)"
C0010,"('C0062', 0.9171851013678582)","('C0086', 0.8758326917927979)","('C0199', 0.8727919280777416)"
C0011,"('C0174', 0.9611635759579297)","('C0171', 0.9172714045196912)","('C0168', 0.8935926880780577)"
C0012,"('C0195', 0.9132011237444934)","('C0013', 0.89463495866991)","('C0039', 0.8829661345209192)"
C0013,"('C0087', 0.9292816444161176)","('C0012', 0.89463495866991)","('C0059', 0.85889192620234)"
C0014,"('C0033', 0.9112942245324226)","('C0063', 0.8822069183600035)","('C0130', 0.8471689720153668)"
C0015,"('C0094', 0.9048313676636505)","('C0123', 0.8884551047951439)","('C0033', 0.888254172009253)"
C0016,"('C0183', 0.9521555232542711)","('C0189', 0.9447542477209266)","('C0157', 0.8977278771135361)"
C0017,"('C0051', 0.9336555409719536)","('C0041', 0.8675105982574295)","('C0101', 0.7852509769060219)"
C0018,"('C0114', 0.847946395980976)","('C0117', 0.8390249895963725)","('C0182', 0.8107695635524239)"
C0019,"('C0127', 0.7665750885516418)","('C0164', 0.727718468809739)","('C0081', 0.7256776382194804)"
C0020,"('C0036', 0.9382256834138551)","('C0080', 0.8659415281787961)","('C0033', 0.8547296391544871)"
